año,campaña,clasificación,parámetro,ld,lc,unidad,ti001,ti004,ti006,ti008,sf015,si022,si023,vl032,vl033,ca044,ca046,ca047,av053,av054,qu061,qu063,bz078,bz080,en081,en084,bs091,bs092,en ad,ca cu01,ca cu02,ca cu03,ca cu04,ca cu05
2021,Invierno,Organoclorados,Hexaclorobenceno,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,<0.01,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Metolacloro,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,425,ND,215,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_organoclorados_persistentes,Metoxicloro,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Mirex,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Nonaclor,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Familia_de_Abamectinas,Abamectina,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Acetamiprid,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
